id,"country_id:id","name","code"
state_in_sa_1,base.sa,"Riyadh","1"
state_in_sa_2,base.sa,"Diriyah","2"
state_in_sa_3,base.sa,"Al-Kharj","3"
state_in_sa_4,base.sa,"Dawadmi","4"
state_in_sa_5,base.sa,"Al Majma'ah","5"
state_in_sa_6,base.sa,"Al-Quway'iyah","6"
state_in_sa_7,base.sa,"Wadi ad-Dawasir","7"
state_in_sa_8,base.sa,"Al Aflaj","8"
state_in_sa_9,base.sa,"Al Zulfi","9"
state_in_sa_10,base.sa,"Shaqraa","10"
state_in_sa_11,base.sa,"Hotat Bani Tamim","11"
state_in_sa_12,base.sa,"Afif","12"
state_in_sa_13,base.sa,"As Sulayyil","13"
state_in_sa_14,base.sa,"Dhurma","14"
state_in_sa_15,base.sa,"Al-Muzahmiyya","15"
state_in_sa_16,base.sa,"Rumah","16"
state_in_sa_17,base.sa,"Thadig","17"
state_in_sa_18,base.sa,"Huraymila","18"
state_in_sa_19,base.sa,"Al Hariq","19"
state_in_sa_20,base.sa,"Al-Ghat","20"
state_in_sa_21,base.sa,"Mecca","21"
state_in_sa_22,base.sa,"Jeddah","22"
state_in_sa_23,base.sa,"Ta'if","23"
state_in_sa_24,base.sa,"Al Qunfudhah","24"
state_in_sa_25,base.sa,"Al Lith","25"
state_in_sa_26,base.sa,"Rabigh","26"
state_in_sa_27,base.sa,"Al Jumum","27"
state_in_sa_28,base.sa,"Khulays","28"
state_in_sa_29,base.sa,"Al Kamil","29"
state_in_sa_30,base.sa,"Al Khurmah","30"
state_in_sa_31,base.sa,"Ranyah","31"
state_in_sa_32,base.sa,"Turubah","32"
state_in_sa_33,base.sa,"Medina","33"
state_in_sa_34,base.sa,"Yanbu","34"
state_in_sa_35,base.sa,"Al-'Ula","35"
state_in_sa_36,base.sa,"Mahd adh Dhahab","36"
state_in_sa_37,base.sa,"Badr","37"
state_in_sa_38,base.sa,"Khaybar","38"
state_in_sa_39,base.sa,"Al Hinakiyah","39"
state_in_sa_40,base.sa,"Buraidah","40"
state_in_sa_41,base.sa,"Unaizah","41"
state_in_sa_42,base.sa,"Ar Rass","42"
state_in_sa_43,base.sa,"Al Mithnab","43"
state_in_sa_44,base.sa,"Al Bukayriyah","44"
state_in_sa_45,base.sa,"Al Badayea","45"
state_in_sa_46,base.sa,"Asyah","46"
state_in_sa_47,base.sa,"Al Nabhaniyah","47"
state_in_sa_48,base.sa,"Uyun AlJiwa","48"
state_in_sa_49,base.sa,"Riyadh Al Khabra","49"
state_in_sa_50,base.sa,"Al Shimasiyah","50"
state_in_sa_51,base.sa,"Dammam","51"
state_in_sa_52,base.sa,"Al Ahsa","52"
state_in_sa_53,base.sa,"Hafar al-Batin","53"
state_in_sa_54,base.sa,"Jubail","54"
state_in_sa_55,base.sa,"Qatif","55"
state_in_sa_56,base.sa,"Khobar","56"
state_in_sa_57,base.sa,"Khafji","57"
state_in_sa_58,base.sa,"Ras Tanura","58"
state_in_sa_59,base.sa,"Abqaiq","59"
state_in_sa_60,base.sa,"Al Nairyah","60"
state_in_sa_61,base.sa,"Qaryat al-Ulya","61"
state_in_sa_62,base.sa,"Abha","62"
state_in_sa_63,base.sa,"Khamis Mushait","63"
state_in_sa_64,base.sa,"Bisha","64"
state_in_sa_65,base.sa,"Al-Namas","65"
state_in_sa_66,base.sa,"Muhayil","66"
state_in_sa_67,base.sa,"Sarat Abidah","67"
state_in_sa_68,base.sa,"Tathlith","68"
state_in_sa_69,base.sa,"Rojal","69"
state_in_sa_70,base.sa,"Ahad Rafidah","70"
state_in_sa_71,base.sa,"Dhahran Al Janub","71"
state_in_sa_72,base.sa,"Balqarn","72"
state_in_sa_73,base.sa,"Al Majaridah","73"
state_in_sa_74,base.sa,"Tabuk","74"
state_in_sa_75,base.sa,"Al Wajh","75"
state_in_sa_76,base.sa,"Duba","76"
state_in_sa_77,base.sa,"Tayma","77"
state_in_sa_78,base.sa,"Umluj","78"
state_in_sa_79,base.sa,"Haql","79"
state_in_sa_80,base.sa,"Ha'il","80"
state_in_sa_81,base.sa,"Baqaa","81"
state_in_sa_82,base.sa,"Al Khazaiah","82"
state_in_sa_83,base.sa,"Al Shinan","83"
state_in_sa_84,base.sa,"Arar","84"
state_in_sa_85,base.sa,"Rafha","85"
state_in_sa_86,base.sa,"Turaif","86"
state_in_sa_87,base.sa,"Jizan","87"
state_in_sa_88,base.sa,"Sabya","88"
state_in_sa_89,base.sa,"Abu `Arish","89"
state_in_sa_90,base.sa,"Samtah","90"
state_in_sa_91,base.sa,"Al Harth","91"
state_in_sa_92,base.sa,"Damad","92"
state_in_sa_93,base.sa,"Al Reeth","93"
state_in_sa_94,base.sa,"Baish","94"
state_in_sa_95,base.sa,"Farasan","95"
state_in_sa_96,base.sa,"Al Dayer","96"
state_in_sa_97,base.sa,"Ahad al Masarihah","97"
state_in_sa_98,base.sa,"Al Edabi","98"
state_in_sa_99,base.sa,"Al Aridhah","99"
state_in_sa_100,base.sa,"Al Darb","100"
state_in_sa_101,base.sa,"Najran","101"
state_in_sa_102,base.sa,"Sharurah","102"
state_in_sa_103,base.sa,"Hubuna","103"
state_in_sa_104,base.sa,"Badr Al Janub","104"
state_in_sa_105,base.sa,"Yadamah","105"
state_in_sa_106,base.sa,"Thar","106"
state_in_sa_107,base.sa,"Khubash","107"
state_in_sa_108,base.sa,"Al Kharkhir","108"
state_in_sa_109,base.sa,"Al Bahah","109"
state_in_sa_110,base.sa,"Baljurashi","110"
state_in_sa_111,base.sa,"Al Mandaq","111"
state_in_sa_112,base.sa,"Al Makhwah","112"
state_in_sa_113,base.sa,"Al Aqiq","113"
state_in_sa_114,base.sa,"Qilwah","114"
state_in_sa_115,base.sa,"Al Qara","115"
state_in_sa_116,base.sa,"Sakakah","116"
state_in_sa_117,base.sa,"Qurayyat","117"
state_in_sa_118,base.sa,"Dumat al-Jandal","118"